Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-24 23:59:59,0x248…24b57,https://eigenphi.io/mev/ethereum/tx/0x24846558cce6ee459745890c038a12c014dc6bf7c1bf372d72ca328db9724b57,"…
…",$2.98,$54.73,$57.71
2024-06-24 23:59:35,0x42c…6a167,https://eigenphi.io/mev/ethereum/tx/0x42c78c487d2e820330b2a408c793c04f4ff98ddc2e9aec97425b97b413e6a167,"…
…",$3.29,$65.61,$68.90
2024-06-24 23:58:35,0x76a…03fc2,https://eigenphi.io/mev/ethereum/tx/0x76a50a7bd5338a79af146cb623feb6882b458024ee07a4ab77b8e94a87f03fc2,"…
…",-$0.02,$54.66,$54.64
2024-06-24 23:58:23,0x296…aa415,https://eigenphi.io/mev/ethereum/tx/0x296f9058cf0ceb3381a243c53dd563b4528c8afaf90a2e11e106eaa2c80aa415,"…
…",$0.02,$11.74,$11.76
2024-06-24 23:58:11,0xc5a…bd070,https://eigenphi.io/mev/ethereum/tx/0xc5a2f8c35103e88f810b16701e849191a9f1a06cad1c24f2073780d1ff1bd070,"…
…",$16.97,$54.64,$71.61
2024-06-24 23:57:47,0x7e6…5ccd7,https://eigenphi.io/mev/ethereum/tx/0x7e68a60397f7cb9e20eba7c874cbf49c7db555a6332d1c5cc7e8abad0095ccd7,"…
…",<$0.01,$47.44,$47.44
2024-06-24 23:57:35,0x0c5…75b99,https://eigenphi.io/mev/ethereum/tx/0x0c5d8aff5feec77d99cee2c46780c7a0b4daf636408f12ae0dda26c1e8475b99,"…
…",$1.11,$31.79,$32.90
2024-06-24 23:57:11,0xe0b…e6782,https://eigenphi.io/mev/ethereum/tx/0xe0b205887856ae81e888b89a7a21208129e21cc2a3c108c32c6c174b62ce6782,"…
…",$4.47,$33.83,$38.30
2024-06-24 23:56:59,0x271…200c9,https://eigenphi.io/mev/ethereum/tx/0x271ad09e74477e838d73104ce68284899b6c339dd0fc1f25dc48263b857200c9,"…
…",<$0.01,$24.24,$24.24
2024-06-24 23:56:47,0x2ef…675f6,https://eigenphi.io/mev/ethereum/tx/0x2ef99e181e0114308c38d9ae99fd96f44b1a4dcca0554d59d40489ea3c0675f6,"…
…",$0.02,$14.25,$14.27
"a few seconds ago
items per page:
0 - 10",,,,,,
2024-06-24 23:56:35,0xd2c…9387c,https://eigenphi.io/mev/ethereum/tx/0xd2cf3a6a4d6642be72a77ce53d3356940baaeab4c7b7c0552c8738a6da19387c,"…
…",$0.51,$6.43,$6.94
2024-06-24 23:56:23,0xa88…2afc8,https://eigenphi.io/mev/ethereum/tx/0xa88f74621178a1dd8cd47860b18bd1d04314f44d8af4180f5372330fcbb2afc8,"…
…",$1.52,$17.43,$18.95
2024-06-24 23:56:11,0xe53…244e0,https://eigenphi.io/mev/ethereum/tx/0xe536f41fa75eb29207529b340ae0c9b24f09d61bb6753a48ae5d69cc481244e0,"…
…",<$0.01,$145.98,$145.98
2024-06-24 23:55:35,0xa31…d948a,https://eigenphi.io/mev/ethereum/tx/0xa311aa16984ed9c4e2b7d5204e9293f500f6bbcf91b901cae83d6be2b82d948a,"…
…",<$0.01,$16.62,$16.62
2024-06-24 23:55:23,0x89e…5da23,https://eigenphi.io/mev/ethereum/tx/0x89ed2622b7199d4666476c38ddb59b4149d81b0ae750e5e9d43358799ff5da23,"…
…",$6.70,$133.37,$140.07
2024-06-24 23:54:59,0xc32…03217,https://eigenphi.io/mev/ethereum/tx/0xc32b39758568df406146bada0a1bdb46d1686ff7c3d191716d9f5b8778003217,"…
…",$1.77,$9.64,$11.41
2024-06-24 23:54:47,0xf42…27c25,https://eigenphi.io/mev/ethereum/tx/0xf42e10b54b57807c6e1da19f7cb8dbf12b26593f8268b606bf1c40d46f227c25,"…
…",$2.10,$101.37,$103.47
2024-06-24 23:54:35,0x9de…34120,https://eigenphi.io/mev/ethereum/tx/0x9dec6f5bc9ccd0f2adbc855b933a4f9d2f46d98608ae5f556f76ce8449b34120,"…
…",$5.69,$58.15,$63.84
2024-06-24 23:54:11,0xaf6…131a3,https://eigenphi.io/mev/ethereum/tx/0xaf6c0167173b62e766fd13537dda0ba81d710e5bf32225e8e5cb8872bbe131a3,"…
…",$2.21,$23.24,$25.45
2024-06-24 23:54:11,0x3a7…a45d1,https://eigenphi.io/mev/ethereum/tx/0x3a77d5d217bc716c142a64558e546637a55b6fbf4d9fc7f456fbe792fc8a45d1,"…
…",$9.22,$26.79,$36.02
"a few seconds ago
items per page:
10 - 20",,,,,,
2024-06-24 23:53:23,0xf46…b7a85,https://eigenphi.io/mev/ethereum/tx/0xf468e7bea637361c6cf46f9468b17467f7f3614bf1da66502971abcfef9b7a85,"…
…",<$0.01,$20.77,$20.77
2024-06-24 23:53:11,0x234…2102d,https://eigenphi.io/mev/ethereum/tx/0x234f8ce0dfe17e0587a2d98642de935731858f094e304998f4b39173d232102d,"…
…",$7.60,$66.98,$74.58
2024-06-24 23:52:59,0x6e8…f4db2,https://eigenphi.io/mev/ethereum/tx/0x6e87535b9a022529ec6bf44370ff9498f1fe03bf588a36983236e7d38fff4db2,"…
…",$0.02,$198.17,$198.19
2024-06-24 23:52:47,0xd2b…4abc2,https://eigenphi.io/mev/ethereum/tx/0xd2b1c4e5e619e5e4f3e50351b25b5cde1f334ebe010c4bfd2d5278342574abc2,"…
…",$1.43,$23.40,$24.83
2024-06-24 23:52:35,0x181…ea818,https://eigenphi.io/mev/ethereum/tx/0x1811b680b818467132f228d2b515d14488895cbdf0c00665f225057a942ea818,"…
…",$2.65,$27.15,$29.80
2024-06-24 23:52:11,0x749…ef35a,https://eigenphi.io/mev/ethereum/tx/0x749fc701be558914600f58d2772a6b3c812bfce13e875d430afcdc81602ef35a,"…
…",$3.02,$34.13,$37.15
2024-06-24 23:52:11,0xa0b…ee81e,https://eigenphi.io/mev/ethereum/tx/0xa0b5efb5d9d67bae39a0c0ec424a48ea8a794e20f3fa1e79387011cf194ee81e,"…
…",$134.64,$80.38,$215.03
2024-06-24 23:51:59,0x4ed…0faf7,https://eigenphi.io/mev/ethereum/tx/0x4ed20a9ebceccb453618b6ddb1dc2ebafb1fe0c6bf03055fd29e2c74bff0faf7,"…
…",$2.49,$53.13,$55.63
2024-06-24 23:51:47,0xe73…504e1,https://eigenphi.io/mev/ethereum/tx/0xe734d8fef1f0ac2e75d6089e58fceebaa6d1ca3d118c45ab0b9b2797a59504e1,"…
…",$1.10,$115.42,$116.53
2024-06-24 23:51:47,0x2b4…ec99a,https://eigenphi.io/mev/ethereum/tx/0x2b410429f4b56fa8d4fc34857f1bee2ca4245fd78149c5a05c6f0100f27ec99a,"…
…",$81.48,"$1,644.34","$1,725.82"
"a few seconds ago
items per page:
20 - 30",,,,,,
2024-06-24 23:51:23,0x3f8…afa0c,https://eigenphi.io/mev/ethereum/tx/0x3f8a0a895debf0f01864e939df43b0e3f0f397aa2e68154edbf03356aa5afa0c,"…
…",$2.53,$181.95,$184.48
2024-06-24 23:51:11,0xe59…c7c37,https://eigenphi.io/mev/ethereum/tx/0xe59d500bcf128ee7f233e21c27268ac7b289e4c2190a43ed80ea533780bc7c37,"…
…",$0.29,$26.41,$26.70
2024-06-24 23:51:11,0xc43…d3458,https://eigenphi.io/mev/ethereum/tx/0xc43ed1201b70334e5b442acd461710fb5c0d4747303ea506bc7e2ceffe2d3458,"…
…",$4.61,$55.29,$59.91
2024-06-24 23:50:59,0x16d…3d23d,https://eigenphi.io/mev/ethereum/tx/0x16de054c1c20d2c353c947b7edd99e188c26f025158386225be1537c4bf3d23d,"…
…",$3.00,$414.67,$417.67
2024-06-24 23:50:35,0x9bd…6d5d8,https://eigenphi.io/mev/ethereum/tx/0x9bdfa551843e37b6a139ef6e7a424f34d807e4513187c1a76f873c9e23a6d5d8,"…
…",<$0.01,$13.58,$13.58
2024-06-24 23:50:23,0x412…895c1,https://eigenphi.io/mev/ethereum/tx/0x412fa289b3c6e435c6f69f4b96c8b3c6c058f0f3c18b66cbf0872e2e936895c1,"…
…",$3.44,$245.27,$248.71
2024-06-24 23:49:59,0x8be…5e2a5,https://eigenphi.io/mev/ethereum/tx/0x8be07cef6bb45ec8e2dae84f78ef4bf2741294b259c1486467e221fed585e2a5,"…
…",<$0.01,$160.72,$160.73
2024-06-24 23:49:35,0xf86…f6dee,https://eigenphi.io/mev/ethereum/tx/0xf8688a5cbe83f8907f26865fb756b123e7829b9882598677108f48dac71f6dee,"…
…",-$0.43,$11.11,$10.68
2024-06-24 23:49:23,0x41b…e16d6,https://eigenphi.io/mev/ethereum/tx/0x41be179138c3f7c3d599297e38fad148f3fbd0a6ed21d7d5da71a6dd8bfe16d6,"…
…",$7.66,$93.39,$101.05
