Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-22 23:59:47,0x6c3…57bd9,https://eigenphi.io/mev/ethereum/tx/0x6c3e523807ca3afc8c8e0f41788032d37d9d0085eff03eb794e19499f1957bd9,"…
…",<$0.01,$59.02,$59.02
2024-06-22 23:59:35,0x507…9c016,https://eigenphi.io/mev/ethereum/tx/0x507a6479768a2227f6ed72248301c3d5c32c0a246253b2d68a5f9a405769c016,"…
…",$1.11,$15.58,$16.69
2024-06-22 23:59:35,0x536…59c72,https://eigenphi.io/mev/ethereum/tx/0x5361aa5335ea6a336e3f1d301ebe1b2899d25bc248aa2177f5099e0401a59c72,"…
…",$4.21,$66.23,$70.44
2024-06-22 23:59:23,0xb89…990d6,https://eigenphi.io/mev/ethereum/tx/0xb8964a2f60f9eb0aef1549ae83074b38964c520ce8ccbe46061beabdd10990d6,"…
…",$0.22,$5.46,$5.68
2024-06-22 23:59:11,0x16b…025a7,https://eigenphi.io/mev/ethereum/tx/0x16b3abc532a0a39bfaadc6a0a2dec07516642443fc49b8aca634399172e025a7,"…
…",<$0.01,$3.34,$3.34
2024-06-22 23:59:11,0xe2e…7d030,https://eigenphi.io/mev/ethereum/tx/0xe2e91617d9e87cfe38d09552b71387ee45492145ca0672fb464894531907d030,"…
…",$0.77,$6.96,$7.74
2024-06-22 23:58:59,0xeb1…d6941,https://eigenphi.io/mev/ethereum/tx/0xeb1248f7ebed5f7108416a0402af0185239ee563299896d5e306d88c6efd6941,"…
…",<$0.01,$12.60,$12.60
2024-06-22 23:58:47,0x06c…2d8b9,https://eigenphi.io/mev/ethereum/tx/0x06cdda2faee5ca63bf49c128bc58cc6f7aa9cf7ba79d108f787264f685f2d8b9,"…
…",$0.63,$32.12,$32.76
2024-06-22 23:58:35,0xb54…3cfda,https://eigenphi.io/mev/ethereum/tx/0xb5462d89b536610bea5805f7a18c00bf881817340028058ae3638769c743cfda,"…
…",$0.58,$13.07,$13.65
2024-06-22 23:58:23,0x9f0…5fe11,https://eigenphi.io/mev/ethereum/tx/0x9f0e53bf4575aa8e256954bc0709b572adead0c6003c5c1734c4d9381645fe11,"…
…",<$0.01,$18.52,$18.52
"a few seconds ago
items per page:
0 - 10",,,,,,
2024-06-22 23:58:11,0x01a…79aa0,https://eigenphi.io/mev/ethereum/tx/0x01ac0cb811b2abc47a385b36109a0af1a9374f97f75843023d75889907879aa0,"…
…",<$0.01,$3.39,$3.39
2024-06-22 23:58:11,0xa2f…d7f16,https://eigenphi.io/mev/ethereum/tx/0xa2f5961c188e860baab66105dae7321e478a48607901b8c850b60b007abd7f16,"…
…",$4.78,$49.79,$54.56
2024-06-22 23:57:59,0x85c…034af,https://eigenphi.io/mev/ethereum/tx/0x85cdf307e2769fb47e93667c3b598ca48e436650f66d986d1416c4ee8d9034af,"…
…",<$0.01,$5.35,$5.35
2024-06-22 23:57:47,0xce9…7ab72,https://eigenphi.io/mev/ethereum/tx/0xce96a3daa9ce6256abeb306bfcadbd5525ddcd4747ffc9d61f2afa623927ab72,"…
…",$0.32,$4.50,$4.82
2024-06-22 23:56:59,0x583…bbeae,https://eigenphi.io/mev/ethereum/tx/0x5837c538ca3bb476a815ffbc42c4e26d4e149bf4708d991ea081aae6ea1bbeae,"…
…",-$1.32,$13.68,$12.36
2024-06-22 23:56:59,0x51a…b4a29,https://eigenphi.io/mev/ethereum/tx/0x51a8050cd9dba3b1bd266fe796639b3f833dd159d2da5d3fb01edfa0911b4a29,"…
…",$5.61,$71.16,$76.77
2024-06-22 23:56:47,0xd6e…e5f6e,https://eigenphi.io/mev/ethereum/tx/0xd6ef37f6092046f07bb4952a3aa3d44cd895e202c0cdc8eeaf8b4770e5be5f6e,"…
…",-$0.21,$6.82,$6.61
