,Time,Transaction Hash URL,Profit,Cost,Revenue
929,2024-06-17 21:38:28,https://eigenphi.io/mev/bsc/tx/0xf8e4bdb95c0feecafbe1edce45577a024b8c6cfa6d69b34c4ffe8a9e1105d4e4,<$0.01,$4.21,$4.22
939,2024-06-17 21:37:19,https://eigenphi.io/mev/bsc/tx/0x22b328ab3cd57f6f2c689f396d8952ab35d1e3501f666b669d8c459e98692d89,<$0.01,$0.13,$0.13
943,2024-06-17 21:36:55,https://eigenphi.io/mev/bsc/tx/0x00b9b929c47803fdf95aea9df2e267c54149d2720baa8fde54bda3f92bf536f0,<$0.01,$0.83,$0.83
964,2024-06-17 21:34:36,https://eigenphi.io/mev/bsc/tx/0x9420905f04039b5bc41bcda45414ca00ebd1b1beb533b93940af3b3755174d9a,<$0.01,$0.14,$0.15
994,2024-06-17 21:30:03,https://eigenphi.io/mev/bsc/tx/0x14d65ab90f5a3d8a7dfaf4a3f3ab9dc06d74e9f434b7bb5b095ee53df12574b4,<$0.01,$0.13,$0.13
1010,2024-06-17 21:27:15,https://eigenphi.io/mev/bsc/tx/0x91bd962f173c6ae7667d1ab2d877468a9935593349ad0970136c99eb0db4380f,<$0.01,$0.17,$0.18
1086,2024-06-17 21:12:00,https://eigenphi.io/mev/bsc/tx/0x925d6d8c722514df7e2f79d620fb46b56fc3375db7d800cc87f308160ab8d043,<$0.01,$0.21,$0.22
1210,2024-06-17 20:40:06,https://eigenphi.io/mev/bsc/tx/0x5169bc7b51a42746bd8fad65de2e0b3516c696d12897ef134d8015037535c1cd,<$0.01,$0.32,$0.32
1272,2024-06-17 20:31:27,https://eigenphi.io/mev/bsc/tx/0x5bf194b47d196c1dc15d5bfaa1472c7d8b5ad2c9f4960eff565b4b9112027ad3,<$0.01,$0.15,$0.16
1327,2024-06-17 20:21:18,https://eigenphi.io/mev/bsc/tx/0x12136fd31debf066a866471b6822a266edf8690ee8235bb5c03ed5674534fe51,<$0.01,$1.86,$1.86
1337,2024-06-17 20:17:27,https://eigenphi.io/mev/bsc/tx/0xb9224bc83750853d3e402c9c6b36bc191b863e14d6ed7fe6554e114c10701ed7,<$0.01,$0.11,$0.12
1400,2024-06-17 20:06:43,https://eigenphi.io/mev/bsc/tx/0x239dac3a31eb67006e5238d5101f1fdb131d271ca563a8d304487b8556b2b8a1,<-$0.01,$0.17,$0.17
1412,2024-06-17 20:04:25,https://eigenphi.io/mev/bsc/tx/0x8dcca5ee373069f62c4e892f029a2f7ef7968c4adf3e06a1c862f3b306d1d5b2,<-$0.01,$0.46,$0.45
1416,2024-06-17 20:03:31,https://eigenphi.io/mev/bsc/tx/0x75233a3a0c092b4d1bc9c5b750eca1577f598b3a03f7c5a26d8974c07872c06e,<$0.01,$0.17,$0.18
1454,2024-06-17 19:57:07,https://eigenphi.io/mev/bsc/tx/0x71bccc79141bb43f6183f56be1f62a3f8022316ecb45a94e926c774d6989d161,<$0.01,$0.41,$0.42
1466,2024-06-17 19:54:58,https://eigenphi.io/mev/bsc/tx/0xd4f97056b4b03a217f28f13516094b4678ef3880c8220e5a0bb914e0c5f35514,<$0.01,$0.22,$0.22
1489,2024-06-17 19:49:40,https://eigenphi.io/mev/bsc/tx/0x93a945cddea17e5d471c45563840abdb320be6827afe337f16884224e3f1a0ad,<$0.01,$0.18,$0.18
1500,2024-06-17 19:47:52,https://eigenphi.io/mev/bsc/tx/0x9ca62ec28e586de04c6668a9667ec4cbbf12bf5d4e155febfa91d511fac61f6a,<$0.01,$0.13,$0.13
1509,2024-06-17 19:46:31,https://eigenphi.io/mev/bsc/tx/0xef2375ea295ea4d905b73e0cb3824a5c1a2431daa469eea67166bb64f5faa570,<$0.01,$0.35,$0.35
1559,2024-06-17 19:38:55,https://eigenphi.io/mev/bsc/tx/0x127217ecfd39bdb7d1b238c9e39181a514a4a0d123a08f7151cca8f6ba162d3e,<$0.01,$0.62,$0.62
1665,2024-06-17 19:18:05,https://eigenphi.io/mev/bsc/tx/0x421ebf5905ca2cd0deac00f96055687250075307363ff3a9679831e65cac8719,<$0.01,$0.35,$0.35
1696,2024-06-17 19:09:29,https://eigenphi.io/mev/bsc/tx/0x7f45d9c080d7657eb419648132ee9bf52b9da5a3348057b3c3f6b6113717f66d,<-$0.01,$0.26,$0.25
1773,2024-06-17 18:51:59,https://eigenphi.io/mev/bsc/tx/0xaad12972ed589d88a1e8473066bbdcaba8015fed75f03e25618a8cc5973698c9,<-$0.01,$2.29,$2.28
1821,2024-06-17 18:42:56,https://eigenphi.io/mev/bsc/tx/0xf96ef7d941d3a1bc7fd432141f941d6f81a4599c44791a847d90a59288c3ab07,<$0.01,$0.16,$0.16
1877,2024-06-17 18:31:32,https://eigenphi.io/mev/bsc/tx/0x233b7151a46d042ebd47a773dcb3c4f71025afbc3ad463aeaf285fb7b19e21cf,<$0.01,$0.22,$0.23
1885,2024-06-17 18:30:26,https://eigenphi.io/mev/bsc/tx/0x19382b33eb9e71d33a6bc8bdcef5b8500abe1be0155e3bb04b20f1c298fb4cd9,<$0.01,$0.17,$0.18
1923,2024-06-17 18:22:39,https://eigenphi.io/mev/bsc/tx/0xa4abf357587e75e5625f3435c790ed3190f0c1e7bf489d1d753f54d22644dfac,<$0.01,$0.13,$0.13
2010,2024-06-17 18:06:54,https://eigenphi.io/mev/bsc/tx/0xfb29bc1a72e87ea43bbca668e11d4c21b0a54126f354ba94a48bd247680b18f8,<$0.01,$0.13,$0.14
2038,2024-06-17 18:04:26,https://eigenphi.io/mev/bsc/tx/0x2db57163cadb535e9bd3af1fe01dd1b253ad8a88edc182c2517e0322b7dee1f6,<$0.01,$0.25,$0.26
2128,2024-06-17 17:50:58,https://eigenphi.io/mev/bsc/tx/0x8ca289c7e167238604d709041353b81e7a8343471bfa7ec4e4cdc609eb224d08,<$0.01,$0.93,$0.93
2301,2024-06-17 17:27:52,https://eigenphi.io/mev/bsc/tx/0x221fc619d7c0fda260c54fbf9e5c7d5396e4e015f0dd281d65d5238d04b8ff95,-$0.30,$0.29,<-$0.01
2321,2024-06-17 17:25:04,https://eigenphi.io/mev/bsc/tx/0x440e65509ad9ea15041a041b699de85ff591e3d70cd60ed45ab13e570f068fd6,<$0.01,$1.57,$1.57
2344,2024-06-17 17:19:39,https://eigenphi.io/mev/bsc/tx/0xc5204877e04d3e3bb1d423bdf7e17657bbdf1abde5f89268e1ab9e0c24ec1fbe,<$0.01,$0.14,$0.15
2486,2024-06-17 17:02:02,https://eigenphi.io/mev/bsc/tx/0x38d5ae96f60d0d279e448525cb1a747b52d44dff446baa49f3542eca0a1f0bcb,<$0.01,$0.85,$0.86
2504,2024-06-17 16:59:59,https://eigenphi.io/mev/bsc/tx/0x99112684100ae3f9183136a5bfb63c318f39cb2cdbe2b12ad461cdc3b11645b3,<$0.01,$1.43,$1.43
2511,2024-06-17 16:59:23,https://eigenphi.io/mev/bsc/tx/0xcbb8a9030e704e68508a2febd838044c1ec342e9cc3427d8e056b4e58ecca203,<$0.01,$0.13,$0.14
2517,2024-06-17 16:58:35,https://eigenphi.io/mev/bsc/tx/0x0af6b0a75dcbc93962a338f5fa5f48cb4c5f99b5d01d2802882ba10fbd3387f3,<$0.01,$0.21,$0.21
2558,2024-06-17 16:54:47,https://eigenphi.io/mev/bsc/tx/0x1a1fbe42e8e81f06492147f70150dd7340c3fc74da067eaf21ca53302936ee56,<$0.01,$0.30,$0.30
2583,2024-06-17 16:52:05,https://eigenphi.io/mev/bsc/tx/0x29a10c457645560d2d8a9be461c2233829c1d6029996925d3721fe5deb6dc6ad,<$0.01,$3.00,$3.00
2585,2024-06-17 16:51:44,https://eigenphi.io/mev/bsc/tx/0x01931446cc42788a731768236c4246b0394fa02e2b3cf77e6db357055b3774f2,<$0.01,$4.10,$4.11
2590,2024-06-17 16:51:17,https://eigenphi.io/mev/bsc/tx/0x74e0d7f37ccb2def44f3eeb1456a931d862d3fb563fd6c23067c1b22b2ce218d,<$0.01,$0.13,$0.14
2607,2024-06-17 16:49:53,https://eigenphi.io/mev/bsc/tx/0x0865a8d9aa86f7d7e00bc3aa88b37d87d9b1a3a3cc0841ee132edc5026e7f13c,<$0.01,$0.24,$0.25
2631,2024-06-17 16:47:11,https://eigenphi.io/mev/bsc/tx/0x106d5176f297509d76d34a53bc54db97c1cf189d43e6e61b7d261b7da1aa4a5a,<$0.01,$0.59,$0.59
2910,2024-06-17 16:05:46,https://eigenphi.io/mev/bsc/tx/0x825fa20e1151b04cb6d64f0460999f488d2d204b455be02a5ead6905aa2c20f2,<$0.01,$0.25,$0.26
2915,2024-06-17 16:05:07,https://eigenphi.io/mev/bsc/tx/0x6a7bd36a6936bfcee29dc13e1066bf085bd5ee52941b7f5c83efba1ab1d13ce3,<-$0.01,$1.05,$1.04
2967,2024-06-17 15:57:16,https://eigenphi.io/mev/bsc/tx/0x4720c02d03f9e3fc9282fab62ea31866f6191024d380529020a3542ecdb9625c,<$0.01,$0.15,$0.16
3028,2024-06-17 15:48:37,https://eigenphi.io/mev/bsc/tx/0x17cb2c9f583f2b3698d4f04d1e72d7d660b343c2520316385b9fa3264664f275,<$0.01,$0.14,$0.14
3059,2024-06-17 15:42:16,https://eigenphi.io/mev/bsc/tx/0xd06378c35ea3030f4d05766133795f7830a2a31e0e2a5ca157b563aafcf72e9d,<$0.01,$0.30,$0.30
3108,2024-06-17 15:33:04,https://eigenphi.io/mev/bsc/tx/0x281d8590f4800cbfb9481236655fa5d5de6925a2980366963d1f03beece177fa,<$0.01,$0.47,$0.47
3113,2024-06-17 15:31:43,https://eigenphi.io/mev/bsc/tx/0x478104079fc3f0f6d79e10ad44846fd0dedd6870e4a85d121cd046335fa886d6,<$0.01,$0.38,$0.39
3157,2024-06-17 15:23:49,https://eigenphi.io/mev/bsc/tx/0xd50bee40fc57fd17da81c765bcaadef8fa2737cc938f315839c07189ca962c08,<$0.01,$1.49,$1.50
3159,2024-06-17 15:23:46,https://eigenphi.io/mev/bsc/tx/0x2ddd29b4767fe8b4d50530a4db1c91c05d4ee41cec833a6260273e422644cd0c,<$0.01,$0.17,$0.18
3169,2024-06-17 15:22:10,https://eigenphi.io/mev/bsc/tx/0xd7425803f1b0cb4d6570bc0f52935ce476bbb898d9514a76c7855ee9b35efb37,<$0.01,$0.43,$0.44
3174,2024-06-17 15:20:07,https://eigenphi.io/mev/bsc/tx/0x373351f56909e6d3500186c91d82227bb2973ee5e1abbb2aa2aad995daeb2ec7,-$0.19,$0.19,<$0.01
3205,2024-06-17 15:15:09,https://eigenphi.io/mev/bsc/tx/0x082bf36615f0b139f83eeeb579fc8343dbfcfac7f282961cebcc192231f7a501,<$0.01,$0.13,$0.14
3289,2024-06-17 15:00:13,https://eigenphi.io/mev/bsc/tx/0xbebd353317268e5c4604242d3d9c37a535ea0cd9921323b4995be340a49d7578,<$0.01,$0.11,$0.12
3315,2024-06-17 14:56:01,https://eigenphi.io/mev/bsc/tx/0xc190586dd722a9183594d3a75558ccb556a7ea566a4814744190d0a738bd7d60,<$0.01,$0.13,$0.13
3490,2024-06-17 14:24:00,https://eigenphi.io/mev/bsc/tx/0xee375a0d847aaa51f5efe561b2b95b07a701de8463bfb60d3f1ce5fa24cc26cd,<$0.01,$0.12,$0.13
3513,2024-06-17 14:17:30,https://eigenphi.io/mev/bsc/tx/0x48b00e6d2ae5ed1c6e9b749d17275bc17a4f012c1d76dbf3c3c8c9ab48e85ff5,<$0.01,$0.37,$0.37
3532,2024-06-17 14:14:42,https://eigenphi.io/mev/bsc/tx/0x60e6db86f3dd221153af9be47d7d7ddc337b491f2c1a554f0d12e22a284ddab5,<$0.01,$0.18,$0.18
3534,2024-06-17 14:14:30,https://eigenphi.io/mev/bsc/tx/0x7c67de9630bdbb9dd041af3bf2f924925a6af606c885490b390539765b58697e,<$0.01,$0.21,$0.22
