Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-23 23:52:47,0xfed…7e07b,https://eigenphi.io/mev/ethereum/tx/0xfed2703fda3766b3f076d99d642781d89924ae206ed6e052d112b2e5a697e07b,"…
…",$0.18,$19.23,$19.41
2024-06-23 23:52:35,0xc23…b790d,https://eigenphi.io/mev/ethereum/tx/0xc23e5037cb5faae049d0ad02ee09ba1d480798b267cca1f2051b1326176b790d,"…
…",$0.46,$58.49,$58.95
"a few seconds ago
items per page:
20 - 30",,,,,,
2024-06-23 23:52:23,0x938…82505,https://eigenphi.io/mev/ethereum/tx/0x938014d4590a698245a6da1ddc45527ea1f20cb5cfcacf5e7c9515572ef82505,"…
…",<$0.01,$12.27,$12.27
2024-06-23 23:52:11,0x823…6faf8,https://eigenphi.io/mev/ethereum/tx/0x823e2e696c56dbe147e0d273f6651108674155d3be007036841710306756faf8,"…
…",$0.69,$8.48,$9.17
2024-06-23 23:51:47,0x614…7b2cb,https://eigenphi.io/mev/ethereum/tx/0x614c09216943aff3d461fd04cf1f0137a786f9bff44363c8bea31d612b87b2cb,"…
…",$2.42,$8.03,$10.44
2024-06-23 23:51:11,0xb17…fca0f,https://eigenphi.io/mev/ethereum/tx/0xb17962c6fb042a6bdcf89f2dea0d13b29f1d4a33db28f6e56dfa862c196fca0f,"…
…",-$0.01,$2.59,$2.58
2024-06-23 23:51:11,0x313…00c6c,https://eigenphi.io/mev/ethereum/tx/0x313653bd44ae3da2dc506f047ef55aac2ab48dfef7523858e340a57e73b00c6c,"…
…",-$0.35,$9.43,$9.08
2024-06-23 23:50:59,0x6c1…1b4c5,https://eigenphi.io/mev/ethereum/tx/0x6c1c918a61f4a3066d4e49a833e0c29ec30037849c93ae32bd5b75d36bd1b4c5,"…
…",$0.61,$8.55,$9.16
2024-06-23 23:50:47,0x914…d6a6d,https://eigenphi.io/mev/ethereum/tx/0x91477b3b91dea6d24bd6fed82e17b05eb048757ea99c1398b8677031e14d6a6d,"…
…",<$0.01,$11.88,$11.88
2024-06-23 23:50:35,0x7c8…55fca,https://eigenphi.io/mev/ethereum/tx/0x7c88c42673bec3e4a6c5775aef0dcda05f50d477ef2b9bf3332b058bf3c55fca,"…
…",$1.71,$19.75,$21.46
2024-06-23 23:49:47,0x38d…e90fa,https://eigenphi.io/mev/ethereum/tx/0x38d730df104e89b64b4ba909f4cdee4abc908080887c5bfbfb80e4529a9e90fa,"…
…",<$0.01,$5.83,$5.83
2024-06-23 23:49:35,0x099…1f161,https://eigenphi.io/mev/ethereum/tx/0x099ef52b3ca97638ce2bab9cda737a1c4a3b1d7d210c186189cf5fdb7481f161,"…
…",$1.63,$42.78,$44.41
"a few seconds ago
items per page:
30 - 40",,,,,,
2024-06-23 23:49:23,0x3e6…f8cd1,https://eigenphi.io/mev/ethereum/tx/0x3e6986bbf25a8e531be878f0d0b95084a55f2591ca04f043191a6fc93fff8cd1,"…
…",$1.32,$124.72,$126.04
2024-06-23 23:49:11,0x9d5…d5bdd,https://eigenphi.io/mev/ethereum/tx/0x9d5a4a149aace12d239fe03725726cf6d2e4f9fdebbc54630a9351a7972d5bdd,"…
…",$0.32,$21.73,$22.05
2024-06-23 23:48:59,0x7e4…a012b,https://eigenphi.io/mev/ethereum/tx/0x7e41700cb6bef3a6eb86db31fa15b9ce402a6649514c2c6b276a06d27d0a012b,"…
…",<$0.01,$40.07,$40.07
