Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-18 23:59:35,0x32b…56eb1,https://eigenphi.io/mev/ethereum/tx/0x32b2e8fc695c0d6bd5bd7a2b8514db410deb03db6cae99bac7be585b39e56eb1,"…
…",$3.14,$23.87,$27.01
2024-06-18 23:59:11,0xb46…fb0fa,https://eigenphi.io/mev/ethereum/tx/0xb469e98088f0829c40e1b35d534441813bc13e7e467e76e26559b83a2c9fb0fa,"…
…",$0.58,$20.47,$21.05
2024-06-18 23:59:11,0x375…01347,https://eigenphi.io/mev/ethereum/tx/0x3757bdeb35b50b671902a0e8c9e813045653dbf37001bdcf8c45e509b7c01347,"…
…",<$0.01,$96.23,$96.23
2024-06-18 23:57:59,0x612…36509,https://eigenphi.io/mev/ethereum/tx/0x612f6c31c2d7be36a1c79b02e58856083d86ff08485e41c373f8f9167cd36509,"…
…",$0.83,$10.07,$10.90
2024-06-18 23:57:47,0xfb0…80d0b,https://eigenphi.io/mev/ethereum/tx/0xfb0c7c6948e292c7f79db35bb97228195be0ec449576810994302cb9bf080d0b,"…
…",-$0.58,$45.14,$44.56
2024-06-18 23:57:35,0xfef…47abb,https://eigenphi.io/mev/ethereum/tx/0xfef03ebe5bdd1760473d800e524580254f0233adbde66c5e18901a7628047abb,"…
…",<$0.01,$55.03,$55.03
2024-06-18 23:57:11,0xb82…f2087,https://eigenphi.io/mev/ethereum/tx/0xb82ba14861c675fcba5fe87068bce8dfb6596d37c468a40ed987c8d7699f2087,"…
…",$1.13,$224.55,$225.68
2024-06-18 23:56:59,0x347…a7fb6,https://eigenphi.io/mev/ethereum/tx/0x347aaa6930bed82ee320ee21d5b49d22e38c4f3a5438ce7136f979cdb2da7fb6,"…
…",-$0.03,$27.50,$27.47
2024-06-18 23:56:47,0xc4b…68a4b,https://eigenphi.io/mev/ethereum/tx/0xc4b81cc2399ab9b31966956a57e43b69e98f749fc1a297eb2339707261a68a4b,"…
…",$0.45,"$1,236.14","$1,236.59"
2024-06-18 23:56:35,0x7be…93c29,https://eigenphi.io/mev/ethereum/tx/0x7bed5e50eaf21582d2f47fae0ab5cd9ad4f83e9d4a0c7473114cddbcc6693c29,"…
…",$7.60,$78.01,$85.61
"a few seconds ago
items per page:
0 - 10",,,,,,
2024-06-18 23:56:23,0x372…5076a,https://eigenphi.io/mev/ethereum/tx/0x3721e68da6d863d833c6ad3afd9d9c36f4f8ab723380d9a34d353e711e45076a,"…
…",<$0.01,$78.09,$78.09
2024-06-18 23:55:11,0xcd7…56ed2,https://eigenphi.io/mev/ethereum/tx/0xcd7bd4b7186f0484297d6a6d5d8795bea9ce7f4046f56f63a4c0fc1df5256ed2,"…
…",$0.94,$27.66,$28.61
2024-06-18 23:54:59,0x759…b248e,https://eigenphi.io/mev/ethereum/tx/0x75970d009e6049e67310dc5e61dd205b42fc056fe457d8b3db3b383996db248e,"…
…",$17.49,$192.83,$210.32
2024-06-18 23:54:35,0xfcb…c4672,https://eigenphi.io/mev/ethereum/tx/0xfcb13ff5d9cc282e24bd894563e643e9275d11894bb32085aaef1def580c4672,"…
…",$4.99,$56.00,$60.99
2024-06-18 23:54:11,0xaae…643ca,https://eigenphi.io/mev/ethereum/tx/0xaae8d3c6418a16d4f760d024bcd2dedeb28f3c6b5a3fdf328ec83775b30643ca,"…
…",<$0.01,$19.63,$19.63
2024-06-18 23:53:59,0x656…1431e,https://eigenphi.io/mev/ethereum/tx/0x65616547df687bc6cd9452e9f9ed2cd4d0add699faf253baabeef8df8251431e,"…
…",$0.07,$7.40,$7.46
2024-06-18 23:53:47,0x2f3…bc3b9,https://eigenphi.io/mev/ethereum/tx/0x2f3d71bc68c713dbe0347f7bb215ef498bad727026ae54b30fad6743bd6bc3b9,"…
…",$2.39,$36.31,$38.70
2024-06-18 23:53:35,0x0ef…2cace,https://eigenphi.io/mev/ethereum/tx/0x0efe130e67ac04a675ef8ca9f51868f362cfd33ca05e5d6784c512fc96d2cace,"…
…",$0.54,$118.09,$118.62
2024-06-18 23:53:23,0x4b0…b92e7,https://eigenphi.io/mev/ethereum/tx/0x4b0483d72432bc626998917d2cb3725a64187025e16c560e6c99fafe230b92e7,"…
…",<$0.01,$13.83,$13.83
2024-06-18 23:52:59,0x22b…d1200,https://eigenphi.io/mev/ethereum/tx/0x22bddbc69bc0e34c87ab923570f39c6fa92a876676728cd23c22899e2a3d1200,"…
…",$0.38,$83.50,$83.88
"a few seconds ago
items per page:
10 - 20",,,,,,
2024-06-18 23:51:59,0x4b2…8b793,https://eigenphi.io/mev/ethereum/tx/0x4b211e43bbe692d0187588b13867c16ce4a9295a24be40df0844ddcc5208b793,"…
…",<$0.01,$11.07,$11.07
2024-06-18 23:50:59,0x610…98756,https://eigenphi.io/mev/ethereum/tx/0x61045bbc8cd88c15597bf291c6c37600ba543d80e0582dd9f2e09b0f36d98756,"…
…",$2.36,$25.14,$27.50
2024-06-18 23:50:47,0xe72…df736,https://eigenphi.io/mev/ethereum/tx/0xe72d9088013c3e9173bd9ca27eb95dc8afd21cb53dce78aaedba2adf44cdf736,"…
…",$6.32,$86.30,$92.62
2024-06-18 23:50:23,0xbaf…79990,https://eigenphi.io/mev/ethereum/tx/0xbafc883eb3679eed2b58f0c66dcadcab0e6a1bfa66b56e0dc2a6625854179990,"…
…",$2.25,$37.18,$39.43
2024-06-18 23:50:11,0xcab…027c4,https://eigenphi.io/mev/ethereum/tx/0xcab537567a6745049251b16a64920108b04eb0f2a8f7ff066e015d73568027c4,"…
…",<$0.01,$15.67,$15.67
2024-06-18 23:49:59,0x469…93e65,https://eigenphi.io/mev/ethereum/tx/0x4698f1c2f7d92d44f20a5ae9f452cd65e165a138effcd23879af384e2cd93e65,"…
…",-$0.05,$53.25,$53.21
2024-06-18 23:49:35,0x6ea…acaaf,https://eigenphi.io/mev/ethereum/tx/0x6eadf48f86d73ce3e2b41bf7430322f8c1194023e5a591118be36608058acaaf,"…
…",$1.61,$44.29,$45.90
2024-06-18 23:49:23,0x522…9ad36,https://eigenphi.io/mev/ethereum/tx/0x522c1b801d4481d55aeb316ff15cb85e57b86492c6f20109c797e3b39939ad36,"…
…",<$0.01,$13.35,$13.35
2024-06-18 23:49:11,0x276…e7006,https://eigenphi.io/mev/ethereum/tx/0x276ef057f6b530174ffdedd40b969c228cda55ae2d53272dedb700ce593e7006,"…
…",$0.08,$77.99,$78.06
2024-06-18 23:48:23,0xdfe…d4324,https://eigenphi.io/mev/ethereum/tx/0xdfe679962436bc26207a317e63acbda393b96fcc9cdcedf6568ec64f5b7d4324,"…
…",$6.07,$156.30,$162.37
"a few seconds ago
items per page:
20 - 30",,,,,,
2024-06-18 23:47:47,0xf29…614f1,https://eigenphi.io/mev/ethereum/tx/0xf2976ef947eba67a77bd1ab5e6c0cb4731f0380617ca9be060274e9b1ce614f1,"…
…",<$0.01,$7.74,$7.74
2024-06-18 23:47:11,0xb23…b6e68,https://eigenphi.io/mev/ethereum/tx/0xb23dc04bcba782894e241b467ed945580fbd1fc44a9e3e3e379c0b2ef64b6e68,"…
…",<$0.01,$42.34,$42.34
2024-06-18 23:46:59,0xf51…97566,https://eigenphi.io/mev/ethereum/tx/0xf51c871307373cdc6553ceb204728934ce63345ea7dd098f4461bbff3bd97566,"…
…",$3.26,$46.90,$50.16
2024-06-18 23:46:47,0xe90…696a1,https://eigenphi.io/mev/ethereum/tx/0xe90a05c49f75eb3d956c9c48502f35b9c52e02f29a20c68b3e62277a24c696a1,"…
…",$2.04,$21.77,$23.80
2024-06-18 23:45:59,0x046…59dca,https://eigenphi.io/mev/ethereum/tx/0x0463def79dc5b02392a1a1842f9c4e1e6525d94b77fbc83a607e6d8117459dca,"…
…",<$0.01,$18.05,$18.05
2024-06-18 23:45:35,0x52f…1fb72,https://eigenphi.io/mev/ethereum/tx/0x52f6c228a221cf928d824607f0e0910da935d8c3420a2aa6d79326772091fb72,"…
…",$0.02,$14.19,$14.21
