Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-20 23:59:23,0x97f…9363c,https://eigenphi.io/mev/ethereum/tx/0x97f8ed459ce13e49be438fe2fe20967ecac5bb4690f8bb3a567833608189363c,"…
…",$12.30,$166.49,$178.80
2024-06-20 23:59:11,0x15b…9f228,https://eigenphi.io/mev/ethereum/tx/0x15b0012cd712f577702724475cc4e52af6bc0725672a4bc08e293d3a6599f228,"…
…",<$0.01,$51.55,$51.55
2024-06-20 23:58:59,0x297…9cc59,https://eigenphi.io/mev/ethereum/tx/0x297951aa4ff9ed24e5dfdf724a15dd3ee1ac9bc79d176995423ec9f7c7f9cc59,"…
…",<$0.01,$21.10,$21.11
2024-06-20 23:58:47,0x0f5…2c434,https://eigenphi.io/mev/ethereum/tx/0x0f53639fec3c3066a29f473d244d89688a4c3c569596aa6c4a169fc75f52c434,"…
…",<$0.01,$11.40,$11.40
2024-06-20 23:58:11,0x2cb…20a27,https://eigenphi.io/mev/ethereum/tx/0x2cbe9a9dfc1859bff3d1af98c6b520b88962cacdcc822dab4ff599fd78c20a27,"…
…",$177.81,$16.08,$193.88
2024-06-20 23:58:11,0x572…7253d,https://eigenphi.io/mev/ethereum/tx/0x572d82d29332de2e2aecb41e6d92bf0c2b5ae3733148677a16ca284541d7253d,"…
…",$0.11,$22.24,$22.35
2024-06-20 23:57:59,0x07e…d8d38,https://eigenphi.io/mev/ethereum/tx/0x07ed2f893135aa40addfcec177e82fd1d14c15719201c20349e609c5c40d8d38,"…
…",<$0.01,$51.55,$51.56
2024-06-20 23:57:47,0xdaa…a25ec,https://eigenphi.io/mev/ethereum/tx/0xdaa0b812af1b6119dce5a133603cfa63ca3f3a3b02e2caf2a4b618a2a9ba25ec,"…
…",-$3.51,$144.40,$140.89
2024-06-20 23:57:35,0xfb7…f6134,https://eigenphi.io/mev/ethereum/tx/0xfb7d1eae422c754dea525345c4736a02e5d7654cbe07978108556eb79f5f6134,"…
…",$4.08,$54.00,$58.07
2024-06-20 23:57:23,0xe35…826d4,https://eigenphi.io/mev/ethereum/tx/0xe3548f7385bcb5bd5edaa7747571b2c889ecf457cd0603154db134240b7826d4,"…
…",-$0.04,$150.85,$150.81
"a few seconds ago
items per page:
0 - 10",,,,,,
2024-06-20 23:57:11,0x676…3c8b1,https://eigenphi.io/mev/ethereum/tx/0x676b7067c95e43d23bdeea272033ed539f8caafbaf4c8341d7e3b07ecf03c8b1,"…
…",$0.01,$143.78,$143.79
2024-06-20 23:56:59,0x081…fd81b,https://eigenphi.io/mev/ethereum/tx/0x081d38f5ef823bb073795a0f4a5692ea748b9550db2a1b8e8568cf16363fd81b,"…
…",$0.16,$14.86,$15.02
2024-06-20 23:56:59,0xcc7…3aa52,https://eigenphi.io/mev/ethereum/tx/0xcc7f366fc238bbd57cb5c47c8fdce3902af69a7323eb135b47fc0627aaa3aa52,"…
…",$1.00,$99.45,$100.45
2024-06-20 23:56:47,0xe13…322b0,https://eigenphi.io/mev/ethereum/tx/0xe13e3a255a919d6d12c135a9e419418ee3d0571b342053c0469510364da322b0,"…
…",$5.38,"$1,159.52","$1,164.90"
2024-06-20 23:56:35,0xd00…48140,https://eigenphi.io/mev/ethereum/tx/0xd00b18864bf56147197a78a1254d5b0a1c57186a8488704681f070d137448140,"…
…",$1.03,$93.37,$94.40
2024-06-20 23:56:11,0xbe8…6c869,https://eigenphi.io/mev/ethereum/tx/0xbe86155a90441502d898edf844421882843d47b25b8e09ad1cef6a94f156c869,"…
…",$1.49,$116.38,$117.87
2024-06-20 23:55:59,0x72f…0232e,https://eigenphi.io/mev/ethereum/tx/0x72fdeabf4327c9170b7b6c7f9bc15f372a3a8ce3cfcae981289930d7c060232e,"…
…",$0.13,"$1,132.38","$1,132.51"
2024-06-20 23:55:47,0x53a…e7311,https://eigenphi.io/mev/ethereum/tx/0x53aa7e9d899a64d38f9a142e39347db3899d3f744db9e6a99bdf8532b84e7311,"…
…",$0.01,$115.15,$115.17
