,market_id,timestamp,funding_rate,time_hour,funding_rate_apy,Binance,Bybit,OKX,dYdX,Synthetix
313,DOGE-USD,1716865200,1.1129566524455392e-05,2024-05-28 03:00,0.1024053344623374,0.2633381552882063,0.3431224096059304,0.2148761930929483,,-0.8373530356634035
314,DOGE-USD,1716861600,3.142195101756152e-05,2024-05-28 02:00,0.3168624382357079,0.2633381552882063,0.3431224096059304,0.3301207161720323,,-0.8977997934814657
315,DOGE-USD,1716858000,3.0044693699943977e-05,2024-05-28 01:00,0.3010707289752254,0.2633381552882063,0.3431224096059304,0.502719829380265,,-0.8976390452531378
316,DOGE-USD,1716854400,1.0032664848773086e-05,2024-05-28 00:00,0.0918633184248784,0.2633381552882063,0.3431224096059304,0.6969937878252777,-0.0546669657537646,-0.897543201156384
317,DOGE-USD,1716850800,2.162563107986209e-05,2024-05-27 23:00,0.2085707703122716,0.3072915938149032,0.3896664450783529,0.929349910585184,,
318,DOGE-USD,1716847200,2.7188324397683545e-05,2024-05-27 22:00,0.2689204302708465,0.3072915938149032,0.3896664450783529,1.0065888561026963,,
319,DOGE-USD,1716843600,1.143114123033751e-05,2024-05-27 21:00,0.1053214800647712,0.3072915938149032,0.3896664450783529,1.046181727858854,,-0.895663007576062
320,DOGE-USD,1716840000,2.952884815667342e-05,2024-05-27 20:00,0.2952048795361159,0.3072915938149032,0.3896664450783529,1.0368329867643178,,-0.8953293003641078
321,DOGE-USD,1716836400,3.338492354189371e-05,2024-05-27 19:00,0.3397017955904526,0.3072915938149032,0.3896664450783529,0.9218443772826208,,-0.8920240803244022
322,DOGE-USD,1716832800,3.0629328187339536e-05,2024-05-27 18:00,0.3077509188438279,0.3072915938149032,0.3896664450783529,0.7536071074294268,,
323,DOGE-USD,1716829200,3.977858177427856e-05,2024-05-27 17:00,0.4168745800625224,0.3072915938149032,0.3896664450783529,0.5822774993584641,,
324,DOGE-USD,1716825600,4.448874944288932e-05,2024-05-27 16:00,0.476556630862647,0.3072915938149032,0.3896664450783529,0.4224637842870591,,-0.8057009249075444
325,DOGE-USD,1716822000,6.314070580384859e-05,2024-05-27 15:00,0.7386259574121761,0.1157139627916732,0.1157139627916732,0.315730833022799,,-0.2320785482922593
326,DOGE-USD,1716818400,2.7817975239054753e-05,2024-05-27 14:00,0.2759386116068052,0.1157139627916732,0.1157139627916732,0.2844534159623713,,0.0412778129726666
327,DOGE-USD,1716814800,2.875663171180521e-05,2024-05-27 13:00,0.2864731370175364,0.1157139627916732,0.1157139627916732,0.269809656602042,,
328,DOGE-USD,1716811200,1.7602941499917096e-05,2024-05-27 12:00,0.1667246870566667,0.1157139627916732,0.1157139627916732,0.2786241835826348,,-0.238890704485752
329,DOGE-USD,1716807600,1.5428166151851167e-05,2024-05-27 11:00,0.1447081262469292,0.1157139627916732,0.1157139627916732,0.3283466070939465,,-0.5170013917523135
330,DOGE-USD,1716804000,3.004869521645211e-05,2024-05-27 10:00,0.3011163352061452,0.1157139627916732,0.1157139627916732,0.3628965371902548,,-0.5439173108456267
331,DOGE-USD,1716800400,2.320769312156761e-05,2024-05-27 09:00,0.2254364089103468,0.1157139627916732,0.1157139627916732,0.3749030891305256,,
332,DOGE-USD,1716796800,2.980224713849525e-05,2024-05-27 08:00,0.2983104882617078,0.1157139627916732,0.1157139627916732,0.38982847883125,,
333,DOGE-USD,1716793200,1.4960631743876312e-05,2024-05-27 07:00,0.1400295165165841,0.1157139627916732,0.1157139627916732,0.3692251249254799,,-0.5756225816529318
334,DOGE-USD,1716789600,-6.018691020232542e-06,2024-05-27 06:00,-0.0513580960574681,0.1157139627916732,0.1157139627916732,0.3593583348054334,,0.716807232427229
335,DOGE-USD,1716786000,1.1410688788689812e-05,2024-05-27 05:00,0.1051234669242797,0.1157139627916732,0.1157139627916732,0.3513115811068459,,2.367549927366719
336,DOGE-USD,1716782400,4.303182247569485e-05,2024-05-27 04:00,0.4578323701424691,0.1157139627916732,0.1157139627916732,0.3131011796227874,,2.3650598728946357
337,DOGE-USD,1716778800,2.5140040554889636e-05,2024-05-27 03:00,0.2463558669014893,0.1157139627916732,0.1157139627916732,0.2567657181314409,,2.268659343309621
338,DOGE-USD,1716775200,4.3208920001704624e-05,2024-05-27 02:00,0.4600956714208388,0.1157139627916732,0.1157139627916732,0.2133722499100758,,2.11597289141888
339,DOGE-USD,1716771600,4.1900664999120015e-05,2024-05-27 01:00,0.4434587391109497,0.1157139627916732,0.1157139627916732,0.1829994508599242,,2.008927937421643
340,DOGE-USD,1716768000,2.7903538522920634e-05,2024-05-27 00:00,0.2768953032828305,0.1157139627916732,0.1157139627916732,0.1479305843292253,-0.2361751741487331,1.9397372301514135
341,DOGE-USD,1716764400,3.656289298506334e-05,2024-05-26 23:00,0.3775204219538983,0.1157139627916732,0.1157139627916732,0.1397273473874845,,2.202112266396848
342,DOGE-USD,1716760800,5.07432301147774e-05,2024-05-26 22:00,0.5597092383739339,0.1157139627916732,0.1157139627916732,0.1509658134874629,,
343,DOGE-USD,1716757200,2.677686232909205e-05,2024-05-26 21:00,0.2643550794946139,0.1157139627916732,0.1157139627916732,0.1653078177047209,,2.13933238599165
344,DOGE-USD,1716753600,2.8358640390821204e-05,2024-05-26 20:00,0.2819959090693298,0.1157139627916732,0.1157139627916732,0.1687641791726135,,2.110978413425444
345,DOGE-USD,1716750000,3.895527581135144e-05,2024-05-26 19:00,0.406693014048501,0.1157139627916732,0.1157139627916732,0.1862413562233746,,1.9508906429909312
346,DOGE-USD,1716746400,4.514822580587907e-05,2024-05-26 18:00,0.4851110198497101,0.1157139627916732,0.1157139627916732,0.2108721995107831,,
347,DOGE-USD,1716742800,6.433411194447073e-05,2024-05-26 17:00,0.7568961361174336,0.1157139627916732,0.1157139627916732,0.2275828815096903,,
348,DOGE-USD,1716739200,5.596282096737363e-05,2024-05-26 16:00,0.632676340042968,0.1157139627916732,0.1157139627916732,0.2644205490729177,,1.9550683593391316
349,DOGE-USD,1716735600,2.57933035382367e-05,2024-05-26 15:00,0.2535085068289209,0.1157139627916732,0.1157139627916732,0.3027375043881242,,1.7830444679141764
350,DOGE-USD,1716732000,4.1116083021855494e-05,2024-05-26 14:00,0.4335723600343466,0.1157139627916732,0.1157139627916732,0.3095115697349964,,1.101945703104701
351,DOGE-USD,1716728400,4.129339505219374e-05,2024-05-26 13:00,0.4358006994787367,0.1157139627916732,0.1157139627916732,0.3020101833396327,,0.4944342243684614
352,DOGE-USD,1716724800,4.4040968620501656e-05,2024-05-26 12:00,0.4707763489041414,0.1157139627916732,0.1157139627916732,0.2863144733688787,,0.2540372994100758
353,DOGE-USD,1716721200,3.5319125209082284e-05,2024-05-26 11:00,0.3625937781285588,0.1157139627916732,0.1157139627916732,0.2539774694604517,,-0.5714193322553143
354,DOGE-USD,1716717600,2.4704419474958786e-05,2024-05-26 10:00,0.2416089036046782,0.1157139627916732,0.1157139627916732,0.2363425001019314,,-0.6815529291764431
355,DOGE-USD,1716714000,1.959634987379924e-05,2024-05-26 09:00,0.1872768730837546,0.1157139627916732,0.1157139627916732,0.2467627959776575,,-0.7377547787278056
356,DOGE-USD,1716710400,2.6994652651145228e-05,2024-05-26 08:00,0.2667695082937931,0.1157139627916732,0.1157139627916732,0.2329750851719954,,-0.8013350366882909
357,DOGE-USD,1716706800,2.3660984212788353e-05,2024-05-26 07:00,0.2303119678631309,0.1157139627916732,0.1157139627916732,0.204886462906227,,-0.9234778807203364
358,DOGE-USD,1716703200,4.005781622230789e-05,2024-05-26 06:00,0.4203444917599475,0.1157139627916732,0.1157139627916732,0.1919322331536135,,
359,DOGE-USD,1716699600,3.876937830224224e-05,2024-05-26 05:00,0.4044042207361544,0.1157139627916732,0.1157139627916732,0.1885471024006921,,-0.971092911894913
360,DOGE-USD,1716696000,2.3862825365052365e-05,2024-05-26 04:00,0.2324891900116257,0.1157139627916732,0.1157139627916732,0.1924268647558362,,-0.8382956432987451
361,DOGE-USD,1716692400,3.479971919346181e-05,2024-05-26 03:00,0.3564082804651862,0.1157139627916732,0.1157139627916732,0.210440972956724,,-0.7220264101127775
362,DOGE-USD,1716688800,1.3602380061606969e-05,2024-05-26 02:00,0.1265456895685826,0.1157139627916732,0.1157139627916732,0.200226152609096,,0.282593089980761
363,DOGE-USD,1716685200,2.2753257651177087e-05,2024-05-26 01:00,0.2205679332535846,0.1157139627916732,0.1157139627916732,0.1716534148235848,,0.3692834827633752
364,DOGE-USD,1716681600,2.2007090676171935e-05,2024-05-26 00:00,0.2126159802485496,0.1157139627916732,0.1157139627916732,0.1436010374266498,-0.1310452941860831,0.399007896295999
365,DOGE-USD,1716678000,3.016836520797601e-05,2024-05-25 23:00,0.3024809814064813,0.1157139627916732,0.1157139627916732,0.1264140256860721,,0.408337266690807
366,DOGE-USD,1716674400,2.703821552723944e-05,2024-05-25 22:00,0.2672530003958691,0.1157139627916732,0.1157139627916732,0.1035804307111971,,0.4134242003681061
367,DOGE-USD,1716670800,2.7760263099109775e-05,2024-05-25 21:00,0.2752937311394532,0.1157139627916732,0.1157139627916732,0.0897151368795319,,0.6319423781844773
368,DOGE-USD,1716667200,2.9222463745903948e-05,2024-05-25 20:00,0.2917334062738923,0.1157139627916732,0.1157139627916732,0.0890526756772593,,0.921877748975904
