,market_id,timestamp,funding_rate,time_hour,funding_rate_apy,Binance,Bybit,OKX,Synthetix
0,AAVE-USD,1717992000,-1.5292299718984795e-05,2024-06-10 04:00,-0.1253763241068757,0.2066515958179828,0.1280331128875549,0.1019487136619283,
1,AAVE-USD,1717988400,-5.040987174453371e-06,2024-06-10 03:00,-0.0431983381953207,0.2062777153490689,0.1280516564830309,0.1020784229267464,-2.632982691408727
2,AAVE-USD,1717984800,9.709723648085812e-06,2024-06-10 02:00,0.0887788708032439,0.2062047253461689,0.127863771146496,0.1018586621728423,
3,AAVE-USD,1717981200,-1.3029449233453656e-05,2024-06-10 01:00,-0.1078658085474335,0.2061037721394698,0.1285295961104522,0.1017902236154442,
4,AAVE-USD,1717977600,-1.5005716093428793e-05,2024-06-10 00:00,-0.123177813568028,0.2071277060514964,0.1292387457364483,0.1018241950532565,-2.6328721602171017
5,AAVE-USD,1717974000,-5.203241395612414e-06,2024-06-09 23:00,-0.0445573262806429,0.2070238477300221,0.1291145267464704,0.1018834424896799,-2.632845258261459
6,AAVE-USD,1717970400,-3.2079852788383502e-06,2024-06-09 22:00,-0.0277108079798045,0.2069461217166712,0.1294576954459618,0.1017873404343867,
7,AAVE-USD,1717966800,1.6084781511364718e-06,2024-06-09 21:00,0.0141899928295152,0.2070781214765493,0.1289067290265846,0.1018635964757503,-2.63279362947595
8,AAVE-USD,1717963200,-4.790723109711147e-07,2024-06-09 20:00,-0.0041878807165884,0.2073273468434984,0.1282125934027964,0.1018829840366593,-2.6327579168108133
9,AAVE-USD,1717959600,-9.487779672651085e-06,2024-06-09 19:00,-0.0797531633455914,0.2077798691008308,0.1285620205403446,0.1016911743783761,-2.632740869625036
10,AAVE-USD,1717956000,-1.12067129252598e-05,2024-06-09 18:00,-0.0935064420444584,0.2085055882310791,0.1286118980833221,0.101560304546467,
11,AAVE-USD,1717952400,-7.188183985923086e-06,2024-06-09 17:00,-0.0610271538521081,0.2085216902797246,0.1275070413491736,0.1013885569405077,
12,AAVE-USD,1717948800,-3.2000774974415287e-06,2024-06-09 16:00,-0.0276434528534534,0.2077938590201937,0.1271837202773165,0.101313563692782,
13,AAVE-USD,1717945200,1.9047909472818168e-06,2024-06-09 15:00,0.0168259408437203,0.2069937583690995,0.1272722368756538,0.1000500337646161,-2.632615712887668
14,AAVE-USD,1717941600,-8.01129076251885e-06,2024-06-09 14:00,-0.0677732390901373,0.2063688038699984,0.1267586902795408,0.1000612713393476,-2.6325790750690343
15,AAVE-USD,1717938000,-9.704564533157325e-06,2024-06-09 13:00,-0.0814991030739041,0.2072831600111977,0.1265325805589505,0.1008915068190008,-2.6325315355199916
16,AAVE-USD,1717934400,-1.48019094177581e-06,2024-06-09 12:00,-0.0128827795827627,0.2044579674606279,0.1278938901526307,0.1002794692375137,-2.632365541202378
17,AAVE-USD,1717930800,-5.583624465703167e-06,2024-06-09 11:00,-0.0477357287613938,0.2044178545689128,0.1276378335920209,0.1001214840506421,
18,AAVE-USD,1717927200,4.2462386285137475e-06,2024-06-09 10:00,0.0378974368291196,0.2044682662191077,0.1277193407477508,0.1001672811597012,
19,AAVE-USD,1717923600,-9.525584298101794e-06,2024-06-09 09:00,-0.0800578725663252,0.204390467276605,0.1267512797936805,0.1000800008858855,
20,AAVE-USD,1717920000,-7.402019403561066e-06,2024-06-09 08:00,-0.0627844026197561,0.2043431969814053,0.1267458539315056,0.1001602344000052,
21,AAVE-USD,1717916400,-8.243585642032954e-07,2024-06-09 07:00,-0.0071953724561433,0.2041746871996772,0.1267494490466387,0.1002703858304192,
22,AAVE-USD,1717912800,-4.845867147151481e-06,2024-06-09 06:00,-0.0415615170149389,0.2035770570749406,0.1266707543964513,0.1002224401747873,
23,AAVE-USD,1717909200,4.8164568746774125e-06,2024-06-09 05:00,0.0430947969407444,0.2035857011776167,0.1267124130751413,0.1003358265865823,
24,AAVE-USD,1717905600,2.1327688653066017e-05,2024-06-09 04:00,0.2054206103840714,0.2036412041203703,0.1261476668589143,0.1004643220051779,
25,AAVE-USD,1717902000,8.466951490374713e-06,2024-06-09 03:00,0.0769900732120114,0.2037205756631739,0.1261639598109614,0.1005744195023126,-1.885650613824763
26,AAVE-USD,1717898400,2.0992697690034897e-05,2024-06-09 02:00,0.2018885382285047,0.2043907969225762,0.126062920673174,0.1005357268765321,
27,AAVE-USD,1717894800,1.66527937262725e-05,2024-06-09 01:00,0.1570541606706599,0.204773945995665,0.1262015225350923,0.1005612245737355,
28,AAVE-USD,1717891200,1.4077258504473687e-05,2024-06-09 00:00,0.1312417424638918,0.20510586602587,0.1263287176726639,0.100519242857064,
29,AAVE-USD,1717887600,-3.331174913043494e-06,2024-06-08 23:00,-0.0287594827934646,0.2051511343264314,0.1264424270343338,0.1006391191152298,
30,AAVE-USD,1717884000,-1.0878922154837632e-05,2024-06-08 22:00,-0.0908997241813226,0.2052707188916211,0.126101128806485,0.1006980015962824,
31,AAVE-USD,1717880400,-1.6148122419739024e-05,2024-06-08 21:00,-0.131908968261977,0.2052327033581198,0.1262204007930796,0.1007884886280687,
32,AAVE-USD,1717876800,-3.8540813581469764e-07,2024-06-08 20:00,-0.0033704830472421,0.2058509441863094,0.1264240024886795,0.1007660228537001,
33,AAVE-USD,1717873200,-1.9540157777778665e-05,2024-06-08 19:00,-0.1573246050596307,0.205953803877416,0.1265057823836248,0.1007515963075917,
34,AAVE-USD,1717869600,-2.514145867868241e-06,2024-06-08 18:00,-0.0217831891080299,0.2057983889216093,0.1265254065236818,0.1005714912990678,
