,market_id,timestamp,funding_rate,time_hour,funding_rate_apy,Binance,Bybit,OKX
0,BNB-USD,1717992000,3.830595608656923e-05,2024-06-10 04:00,0.3987147069931969,0.20665159581798287,0.12803311288755492,0.10194871366192837
1,BNB-USD,1717988400,3.7845911723604715e-05,2024-06-10 03:00,0.3930894592825711,0.2062777153490689,0.12805165648303096,0.1020784229267464
2,BNB-USD,1717984800,4.942224977406434e-05,2024-06-10 02:00,0.5417655333264169,0.20620472534616896,0.12786377114649605,0.10185866217284234
3,BNB-USD,1717981200,4.193486544833978e-05,2024-06-10 01:00,0.4438912401358124,0.20610377213946984,0.12852959611045223,0.10179022361544421
4,BNB-USD,1717977600,2.7788152419247836e-05,2024-06-10 00:00,0.27560532812549243,0.20712770605149644,0.12923874573644833,0.10182419505325657
5,BNB-USD,1717974000,2.6867240044141643e-05,2024-06-09 23:00,0.2653564500031773,0.20702384773002214,0.1291145267464704,0.10188344248967995
6,BNB-USD,1717970400,7.134985506867136e-06,2024-06-09 22:00,0.0644968541012747,0.20694612171667126,0.12945769544596186,0.10178734043438675
7,BNB-USD,1717966800,1.0282201709113058e-05,2024-06-09 21:00,0.09425265554774431,0.20707812147654936,0.12890672902658462,0.10186359647575038
8,BNB-USD,1717963200,2.444431020276248e-06,2024-06-09 20:00,0.021644097120227856,0.2073273468434984,0.12821259340279645,0.1018829840366593
9,BNB-USD,1717959600,3.551526106842565e-06,2024-06-09 19:00,0.03160032848612171,0.2077798691008308,0.1285620205403446,0.10169117437837616
10,BNB-USD,1717956000,-1.050862070136682e-05,2024-06-09 18:00,-0.08794592785793087,0.20850558823107912,0.12861189808332218,0.10156030454646703
11,BNB-USD,1717952400,-1.2776712011874257e-05,2024-06-09 17:00,-0.10588842937631782,0.20852169027972467,0.12750704134917368,0.10138855694050775
12,BNB-USD,1717948800,1.254799355316745e-05,2024-06-09 16:00,0.11618847475690464,0.20779385902019376,0.1271837202773165,0.101313563692782
13,BNB-USD,1717945200,1.2945742550357954e-05,2024-06-09 15:00,0.12008432280725723,0.2069937583690995,0.1272722368756538,0.10005003376461619
14,BNB-USD,1717941600,-1.3035061364438899e-06,2024-06-09 14:00,-0.011353775036555436,0.20636880386999845,0.1267586902795408,0.10006127133934761
15,BNB-USD,1717938000,1.5691274031915567e-05,2024-06-09 13:00,0.1473494798494306,0.20728316001119773,0.12653258055895056,0.10089150681900083
16,BNB-USD,1717934400,2.544725882499122e-05,2024-06-09 12:00,0.24971453224582296,0.20445796746062794,0.12789389015263075,0.10027946923751374
17,BNB-USD,1717930800,9.49627126683972e-06,2024-06-09 11:00,0.08674494709044711,0.20441785456891282,0.12763783359202097,0.10012148405064214
18,BNB-USD,1717927200,1.3022268651397291e-05,2024-06-09 10:00,0.12083543419706766,0.20446826621910774,0.12771934074775082,0.1001672811597012
19,BNB-USD,1717923600,9.089779249085793e-06,2024-06-09 09:00,0.08288210704282784,0.20439046727660504,0.1267512797936805,0.10008000088588553
20,BNB-USD,1717920000,-1.957004879357632e-06,2024-06-09 08:00,-0.01699726792775802,0.20434319698140535,0.12674585393150561,0.10016023440000521
21,BNB-USD,1717916400,1.4930161432264433e-05,2024-06-09 07:00,0.13972526507255556,0.20417468719967724,0.12674944904663876,0.10027038583041925
22,BNB-USD,1717912800,2.57619686570476e-05,2024-06-09 06:00,0.2531644829044346,0.20357705707494067,0.12667075439645137,0.10022244017478732
23,BNB-USD,1717909200,3.5812771636723494e-05,2024-06-09 05:00,0.3684986487212214,0.20358570117761676,0.12671241307514136,0.10033582658658236
24,BNB-USD,1717905600,4.3070371059220126e-05,2024-06-09 04:00,0.458324721056798,0.20364120412037034,0.12614766685891432,0.10046432200517796
25,BNB-USD,1717902000,2.7262134330197096e-05,2024-06-09 03:00,0.2697411254586086,0.20372057566317392,0.1261639598109614,0.1005744195023126
26,BNB-USD,1717898400,4.017235623793091e-05,2024-06-09 02:00,0.42177028155849894,0.20439079692257622,0.12606292067317404,0.10053572687653212
27,BNB-USD,1717894800,2.7872852070720452e-05,2024-06-09 01:00,0.27655211251483935,0.204773945995665,0.12620152253509231,0.10056122457373551
28,BNB-USD,1717891200,1.0269178467377593e-05,2024-06-09 00:00,0.09412782767055372,0.20510586602587,0.12632871767266396,0.10051924285706404
29,BNB-USD,1717887600,-1.035529690398019e-06,2024-06-08 23:00,-0.009030225170750139,0.2051511343264314,0.12644242703433384,0.10063911911522982
30,BNB-USD,1717884000,9.348916763292366e-06,2024-06-08 22:00,0.08534306724745533,0.20527071889162118,0.12610112880648505,0.1006980015962824
31,BNB-USD,1717880400,4.009539482434964e-06,2024-06-08 21:00,0.03574761102077151,0.20523270335811983,0.1262204007930796,0.10078848862806877
32,BNB-USD,1717876800,1.8399800217162526e-06,2024-06-08 20:00,0.016248809241702578,0.20585094418630945,0.12642400248867958,0.10076602285370018
33,BNB-USD,1717873200,1.0836904836975348e-05,2024-06-08 19:00,0.09958273057309097,0.20595380387741602,0.12650578238362487,0.10075159630759178
34,BNB-USD,1717869600,-1.5672252589444523e-06,2024-06-08 18:00,-0.013635092424127304,0.2057983889216093,0.12652540652368183,0.10057149129906784
35,BNB-USD,1717866000,1.3417619239782566e-05,2024-06-08 17:00,0.12472386928495083,0.20539853692942733,0.1264227223239207,0.10047968462660806
36,BNB-USD,1717862400,1.8373684648352866e-06,2024-06-08 16:00,0.01622556058540292,0.20472670023215578,0.1262530841088132,0.10061075156074195
