,timestamp,fundingRate,index,id
0,1714453459,36082582765259,119739,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119739
1,1714457753,41188465641629,119740,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119740
2,1714463335,47825875566151,119741,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119741
3,1714466109,51124366273894,119742,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119742
4,1714466109,51124366273894,119743,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119743
5,1714466115,51131500716664,119744,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119744
6,1714466663,-100622689065816,119745,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119745
7,1714466805,-139945855031349,119746,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119746
8,1714467323,-283392333694350,119747,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119747
9,1714467329,-285053875918245,119748,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119748
10,1714467343,-285356455566132,119749,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119749
11,1714467373,-286004840525891,119750,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119750
12,1714467443,-287517738765330,119751,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119751
13,1714467443,-287517738765330,119752,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119752
14,1714467449,-287647415757281,119753,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119753
15,1714469939,-170896333917357,119754,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119754
16,1714469945,-170615006009309,119755,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119755
17,1714470291,-250502874422984,119756,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119756
18,1714470297,-251888213181602,119757,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119757
19,1714470455,-156702133825227,119758,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119758
20,1714470455,-156702133825227,119759,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119759
21,1714470461,-153087472583846,119760,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119760
22,1714471313,218194423692304,119761,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119761
23,1714471313,218194423692304,119762,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119762
24,1714471319,220809084933685,119763,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119763
25,1714471349,208882391140592,119764,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119764
26,1714471355,206497052381974,119765,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119765
27,1714474125,-433067674513638,119766,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119766
28,1714474125,-433067674513638,119767,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119767
29,1714474127,-433529454099844,119768,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119768
30,1714474131,-434453013272256,119769,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119769
31,1714474133,-435471355080684,119770,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119770
32,1714474173,-439261821390222,119771,0x31a1659ca00f617e86dc765b6494afe70a5a9c1a-119771
