snapped_at,price,market_cap,total_volume
2023-05-28 00:00:00 UTC,0.003087657479636281,629371.2048989657,46059.31233045712
2023-05-29 00:00:00 UTC,0.003065049298976735,624409.3027578238,34910.03038162752
2023-05-30 00:00:00 UTC,0.0027691219899170323,561814.4400159407,52209.11260160761
2023-05-31 00:00:00 UTC,0.0027804448954207037,565559.3794422476,36646.58530627258
2023-06-01 00:00:00 UTC,0.0025346271193213664,516121.69096096244,36614.94498466372
2023-06-02 00:00:00 UTC,0.002547922947567028,518635.3285610741,34153.587656232354
2023-06-03 00:00:00 UTC,0.0025015970937729425,510538.944410913,29014.307976091844
2023-06-04 00:00:00 UTC,0.002568072969213706,523914.40869964106,32067.64021462844
2023-06-05 00:00:00 UTC,0.0025217974347506,514922.01108424185,27074.56512356266
2023-06-06 00:00:00 UTC,0.0022604113254777,461021.05154762685,45175.201600481676
2023-06-07 00:00:00 UTC,0.0022310647673067694,454310.384438109,23491.04990806066
2023-06-08 00:00:00 UTC,0.0021850614291658056,445114.17786587484,24480.62451578094
2023-06-09 00:00:00 UTC,0.0022531120601387176,458694.513855516,33138.95331627427
2023-06-10 00:00:00 UTC,0.002006188802264527,409472.11925696046,46160.543022943464
2023-06-11 00:00:00 UTC,0.0017781995812013716,361615.58229098393,29528.549598040314
2023-06-12 00:00:00 UTC,0.002233013319125355,454887.5925868836,44957.85803030626
2023-06-13 00:00:00 UTC,0.0022342483317316615,453239.749770703,61136.78059470841
2023-06-14 00:00:00 UTC,0.004471981853051677,897971.599442845,307561.491279341
2023-06-15 00:00:00 UTC,0.003518393469808847,715937.8634698697,318527.0415680762
2023-06-16 00:00:00 UTC,0.003031382093785248,616004.4950422297,54967.94501012683
2023-06-17 00:00:00 UTC,0.0028683780935581326,584315.3292299386,126134.67827312801
2023-06-18 00:00:00 UTC,0.0033385549291380517,678641.4636176338,24027.61099140357
2023-06-19 00:00:00 UTC,0.002975387156880806,605683.1562474701,61235.12419762018
2023-06-20 00:00:00 UTC,0.003002904450645168,611640.3539670559,10278.62412974091
2023-06-21 00:00:00 UTC,0.0030563885552522554,623213.1873073241,37243.58260115982
2023-06-22 00:00:00 UTC,0.0033730237754145834,685552.3360911409,62216.23763423455
2023-06-23 00:00:00 UTC,0.003057829171051472,623322.9783893237,12829.54487700953
2023-06-24 00:00:00 UTC,0.0029981718415847776,610699.3853997154,18742.645003093465
2023-06-25 00:00:00 UTC,0.0029419234707803244,599323.8413626136,18508.718561987465
2023-06-26 00:00:00 UTC,0.0029151261762235298,594207.7267103739,18487.605526337444
2023-06-27 00:00:00 UTC,0.0029256624739601193,595590.21690236,18653.88746990398
2023-06-28 00:00:00 UTC,0.0028636842939296736,584409.1532121446,10378.717623360884
2023-06-29 00:00:00 UTC,0.002869869127134659,588531.8258426834,12744.072527550248
2023-06-30 00:00:00 UTC,0.002956394048602994,602718.0226018332,10886.638238783862
2023-07-01 00:00:00 UTC,0.002894568027535108,589121.625149474,11274.73547828105
2023-07-02 00:00:00 UTC,0.002918535760241416,594592.0609975732,10221.092644457995
2023-07-03 00:00:00 UTC,0.0029266103073691515,593734.2337788519,8584.080606458398
2023-07-04 00:00:00 UTC,0.0028594029691997236,607606.1385314385,17971.429420840694
2023-07-05 00:00:00 UTC,0.002993020740155008,609774.7351623487,20337.687722338625
2023-07-06 00:00:00 UTC,0.002511222983777147,512258.55479188316,58358.73725397945
2023-07-07 00:00:00 UTC,0.0022409900095764555,453008.2513238422,69538.12845869566
2023-07-08 00:00:00 UTC,0.00211521489624062,433105.24352646206,57741.14581627051
2023-07-09 00:00:00 UTC,0.0020643774507698416,423056.05944937177,69517.41000042122
2023-07-10 00:00:00 UTC,0.002129727800481375,433467.1954282777,52163.92774143173
2023-07-11 00:00:00 UTC,0.0020366106912832692,417981.42806795397,71538.09824346448
2023-07-12 00:00:00 UTC,0.002055591110480768,417362.8559825787,89729.93972531073
2023-07-13 00:00:00 UTC,0.002099282293615246,426905.23425089236,71900.36527290926
2023-07-14 00:00:00 UTC,0.0020172247218774027,409937.3608832113,99178.12710452864
2023-07-15 00:00:00 UTC,0.002006644426514155,408869.609139839,82566.16082656254
2023-07-16 00:00:00 UTC,0.002006309516041208,408487.88732551434,30981.12048173738
2023-07-17 00:00:00 UTC,0.0020360990298534513,414017.14089587,76771.38621925307
2023-07-18 00:00:00 UTC,0.002051992908599709,419335.28875568596,62801.31188210632
2023-07-19 00:00:00 UTC,0.002209611572231637,449227.8503045636,94639.37135351745
2023-07-20 00:00:00 UTC,0.0020301256168092892,413562.23628778016,89099.27975971297
2023-07-21 00:00:00 UTC,0.0019602752886934156,398562.0285014298,110029.55031492155
2023-07-22 00:00:00 UTC,0.0021312153815852045,432432.83595024765,65951.21925303547
2023-07-23 00:00:00 UTC,0.0020211843958878625,411845.3264278781,94969.16476910865
2023-07-24 00:00:00 UTC,0.0019907606942686784,408014.26420389384,107058.17149234662
2023-07-25 00:00:00 UTC,0.0018896758056154144,385154.7463782207,85023.25052202806
2023-07-26 00:00:00 UTC,0.001899798847771452,384880.6072022428,104515.31421126044
2023-07-27 00:00:00 UTC,0.0018884730487297129,385536.2129240238,77785.42787392663
2023-07-28 00:00:00 UTC,0.0019042415162975408,386380.68372910994,92651.28814470288
2023-07-29 00:00:00 UTC,0.0018644611618429613,379693.36351071176,111292.79640456117
2023-07-30 00:00:00 UTC,0.0018230469096899111,370132.2969274028,117429.73921544637
2023-07-31 00:00:00 UTC,0.00176934993427703,360775.98600255966,132550.33524258563
2023-08-01 00:00:00 UTC,0.0017958654067818057,365441.5581731463,153959.39434514532
2023-08-02 00:00:00 UTC,0.0016535625531639312,338817.44814694626,106021.05277826682
2023-08-03 00:00:00 UTC,0.0016850201426374064,343256.12305803015,118819.52333005756
2023-08-04 00:00:00 UTC,0.0018658313799644547,381491.70497994113,97256.1938272265
2023-08-05 00:00:00 UTC,0.0017560049648836866,356657.4649325875,130839.54225607128
2023-08-06 00:00:00 UTC,0.0017643504939705928,359703.55918321677,138804.00920900193
2023-08-07 00:00:00 UTC,0.0016841834257888305,341775.9490091254,121822.3307593275
2023-08-08 00:00:00 UTC,0.0015633164266506494,318599.9518172086,139318.4565800275
2023-08-09 00:00:00 UTC,0.0015346775884918248,313090.1415094693,143002.0430910454
2023-08-10 00:00:00 UTC,0.0015665532680925163,322001.3932384482,95886.3777196307
2023-08-11 00:00:00 UTC,0.0016204468138330712,330098.9205796265,128113.04001488668
2023-08-12 00:00:00 UTC,0.0016642469538088345,337205.1867563241,124412.50911738382
2023-08-13 00:00:00 UTC,0.001553193241169033,315760.91401023546,127093.76103130939
2023-08-14 00:00:00 UTC,0.0015328958337301626,309873.1606683089,125424.55451386396
2023-08-15 00:00:00 UTC,0.0015034380037674798,304541.3942835801,126299.58996819695
2023-08-16 00:00:00 UTC,0.001395524271526603,285080.4673108439,139026.91158046582
2023-08-17 00:00:00 UTC,0.0013460017427532492,274283.13711637276,120668.53361172859
2023-08-18 00:00:00 UTC,0.0012686006388810892,258711.51199668247,133795.25804576336
2023-08-19 00:00:00 UTC,0.001260893842608215,256958.74760718888,150320.46536233436
2023-08-20 00:00:00 UTC,0.0012365252178708139,252651.5462032913,122784.47784866707
2023-08-21 00:00:00 UTC,0.001302218342592012,253658.99855453975,175933.38520805174
2023-08-22 00:00:00 UTC,0.0011234641562018403,228736.62966925465,157099.5945378277
2023-08-23 00:00:00 UTC,0.0010897697256084297,222102.38370596568,135706.4524480365
2023-08-24 00:00:00 UTC,0.001466183425066086,298392.6559689087,163837.14387077052
2023-08-25 00:00:00 UTC,0.0012259643900877856,256676.8401741928,121358.38098646778
2023-08-26 00:00:00 UTC,0.0013588479233393393,269998.48284744204,169381.14125729643
2023-08-27 00:00:00 UTC,0.0014056857424214165,287472.40102417144,178594.43564174057
2023-08-28 00:00:00 UTC,0.0013169803314258132,271494.49964299804,164632.31768142543
2023-08-29 00:00:00 UTC,0.0014537396423401916,296705.62399220467,268498.92297144805
2023-08-30 00:00:00 UTC,0.0014895597678156864,303129.56093091215,291686.6472691279
2023-08-31 00:00:00 UTC,0.0015007297215798637,306321.6593415462,235478.71275590512
2023-09-01 00:00:00 UTC,0.0015592684988829974,313895.21158103214,179557.97429823392
2023-09-02 00:00:00 UTC,0.0012572656208411498,263232.33227967244,141056.8494190972
2023-09-03 00:00:00 UTC,0.0014047433392322026,272805.80023920763,148994.9755187988
2023-09-04 00:00:00 UTC,0.0014413163969647766,280504.72103679786,155533.36120413174
2023-09-05 00:00:00 UTC,0.0011446737193731228,243762.91009235056,168641.8981556184
2023-09-06 00:00:00 UTC,0.0012999119597459727,264660.3044693911,229007.21329478797
2023-09-07 00:00:00 UTC,0.0012949370471044598,269183.6782410859,341030.1564772182
2023-09-08 00:00:00 UTC,0.001174965357955498,239059.84938613846,275825.2779450095
2023-09-09 00:00:00 UTC,0.0011543999845474644,235015.43182853315,283451.37331507565
2023-09-10 00:00:00 UTC,0.001157099083238597,233761.36436489376,289033.74487274385
2023-09-11 00:00:00 UTC,0.001149296933636176,234602.00854804134,344570.86962096905
2023-09-12 00:00:00 UTC,0.0010974346088109366,223373.94574928557,267921.8027174759
2023-09-13 00:00:00 UTC,0.0010652476024450804,216948.1551168492,327272.186292525
2023-09-14 00:00:00 UTC,0.0010545224356640955,214781.50233682938,360970.27375138085
2023-09-15 00:00:00 UTC,0.0010423315198205539,212278.69704080696,310059.13819310034
2023-09-16 00:00:00 UTC,0.0009910458635308684,201865.66099352392,312745.59088488464
2023-09-17 00:00:00 UTC,0.0010195060234884654,207520.4074551396,295620.86215092806
2023-09-18 00:00:00 UTC,0.0010077932128509251,205108.54914779973,213420.06804311037
2023-09-19 00:00:00 UTC,0.0010229194056101737,208484.09883704805,299848.71248126565
2023-09-20 00:00:00 UTC,0.0010025028650711846,204304.86276979794,304229.32492589747
