snapped_at,price,market_cap,total_volume
2020-10-15 00:00:00 UTC,0.21223544752856613,0.0,700340.2744805209
2020-10-16 00:00:00 UTC,0.21223544752856613,0.0,700340.2744805209
2020-10-17 00:00:00 UTC,0.2181099237963139,0.0,1931683.4338536465
2020-10-18 00:00:00 UTC,0.1926635866795522,0.0,1847231.3306749873
2020-10-19 00:00:00 UTC,0.16746785301228942,0.0,3816559.7468213052
2020-10-20 00:00:00 UTC,0.16532137375698952,0.0,2050988.5709396955
2020-10-21 00:00:00 UTC,0.15456567673589414,0.0,1173907.777806602
2020-10-22 00:00:00 UTC,0.15512239785693976,0.0,1825257.3007366252
2020-10-23 00:00:00 UTC,0.12855151787367206,0.0,832137.0173157707
2020-10-24 00:00:00 UTC,0.10142222822684606,0.0,1117919.1171254904
2020-10-25 00:00:00 UTC,0.11014296449201524,0.0,936965.6731559224
2020-10-26 00:00:00 UTC,0.10957357143019679,0.0,1039816.3461662229
2020-10-27 00:00:00 UTC,0.11589926248597222,0.0,1343064.4337617361
2020-10-28 00:00:00 UTC,0.11693160373657623,0.0,1414465.7622390243
2020-10-29 00:00:00 UTC,0.11888788605462074,0.0,1321119.5996010818
2020-10-30 00:00:00 UTC,0.11566121486429341,0.0,1106599.5530132682
2020-10-31 00:00:00 UTC,0.0990435660121831,0.0,703932.637879397
2020-11-01 00:00:00 UTC,0.1103516214887589,0.0,708720.3612437124
2020-11-02 00:00:00 UTC,0.11519314997265216,0.0,925479.2319549636
2020-11-03 00:00:00 UTC,0.10824846211375087,0.0,1268514.4374460585
2020-11-04 00:00:00 UTC,0.10559747801806714,0.0,1103055.343166773
2020-11-05 00:00:00 UTC,0.1038948911465201,0.0,1142052.9239874708
2020-11-06 00:00:00 UTC,0.10298603038637065,0.0,1265284.0203750886
2020-11-07 00:00:00 UTC,0.09438469451268328,0.0,1094138.6006088944
2020-11-08 00:00:00 UTC,0.08529627106663792,0.0,978464.6109889349
2020-11-09 00:00:00 UTC,0.07359231018141732,0.0,833324.9002283514
2020-11-10 00:00:00 UTC,0.07520149245619294,0.0,928510.7046903424
2020-11-11 00:00:00 UTC,0.0708577961004225,0.0,792400.766205786
2020-11-12 00:00:00 UTC,0.07565395261260904,0.0,888080.5759367746
2020-11-13 00:00:00 UTC,0.06963215599195374,0.0,1218346.95237037
2020-11-14 00:00:00 UTC,0.07734282509503237,0.0,1810401.1050014622
2020-11-15 00:00:00 UTC,0.07256640483954925,0.0,1190013.9555916553
2020-11-16 00:00:00 UTC,0.0717410748276321,0.0,1027355.6308827552
2020-11-17 00:00:00 UTC,0.0725877772169911,0.0,1585322.0319675705
2020-11-18 00:00:00 UTC,0.07275356612679527,0.0,1549990.035770629
2020-11-19 00:00:00 UTC,0.07405938213735552,0.0,2506759.835593077
