,blockNumber,timeStamp,hash,from,to,contractAddress,tokenName,tokenSymbol,value,tokenDecimal,gas,gasPrice,gasUsed,evt_block_time,cex_name,distinct_name,gasFee,timeStamp_midnight,TokenPrice_traded,ETH-USD,Volume,gasFee_inUSD,gasFee_percentage_bp
12,20019169,1717512695,0x24573252006d30353133e3595c735bcb717fd74efc6d77b169c2d39037d19a57,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIBA INU,SHIB,5831088108000000000000000000,18,42186,14413397115,34795,2024-06-04 14:51:35.000 UTC,Coinhako,Coinhako 5,0.000501514152616425,1717459200,2.443e-05,3766.32,142453.48247844,1.888862783282294,0.13259505843026115
13,20018873,1717509119,0x1f16aa44239bcfdbbc95c945bd963a71ae9f2cd4037d21904f901d84d148c6e4,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0x5283d291dbcf85356a21ba090e6db59121208b44,Blur,BLUR,126172000000000000000000,18,147628,11212657594,38863,2024-06-04 13:51:59.000 UTC,OKX,OKX 81,0.000435757512075622,1717459200,0.3983,3766.32,50254.3076,1.6412022328806568,0.32657941403627194
14,20018835,1717508663,0xfc39950e5f9d919b2114767a3611eade30009bbf6111e317ffae1026ad3a4243,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0x5283d291dbcf85356a21ba090e6db59121208b44,Blur,BLUR,1419383000000000000000000,18,147659,10937438862,38875,2024-06-04 13:44:23.000 UTC,OKX,OKX 81,0.00042519293576025,1717459200,0.3983,3766.32,565340.2489,1.601412657812545,0.0283265283327777
15,20016907,1717485395,0x361110499ee04310c901404b397d4041270a0be7e2f221ce244935e63cf3633e,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,FLOKI,609333574000000000,9,84724,7021272802,67479,2024-06-04 07:16:35.000 UTC,Coinhako,Coinhako 5,0.00047378846740615805,1717459200,0.0002679,3766.32,163240.4644746,1.7844389805611613,0.10931352016820667
16,20012706,1717434731,0x4a0591bbadbc3d74a001c2171eb84099099180033475ee1630bca8179996bd19,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIBA INU,SHIB,38170955775000000000000000000,18,42200,13584849077,34807,2024-06-03 17:12:11.000 UTC,Robinhood,Robinhood 4,0.000472847841823139,1717372800,2.461e-05,3779.06,939387.22162275,1.7869203651201517,0.01902219153070153
17,20012705,1717434719,0x8ba8260d62e566a0a9bc2015650e668d38c4a253440ed354c31d29ca6a640b6b,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,19673159500000000000000,18,48600,13569854780,40130,2024-06-03 17:11:59.000 UTC,Robinhood,Robinhood 4,0.0005445582723214,1717372800,9.418,3779.06,185281.816171,2.05791838459891,0.11106963581896341
18,20012705,1717434719,0x2edba0c2942a73d6549f56e3287c80943cde543bc6f1b048f1013d16db831680,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0xc00e94cb662c3520282e6f5717214004a7f26888,Compound,COMP,1355711930000000000000,18,48860,13764007941,40346,2024-06-03 17:11:59.000 UTC,Robinhood,Robinhood 4,0.0005553226643875861,1717372800,57.84,3779.06,78414.3780312,2.098597668080551,0.26762919260107476
19,20012533,1717432631,0x28718fb8ae67cfd3d5ce84bf4fa8594cbbd08b4790a26fccbfa9b665ce8934b3,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x46a189c7f37953b91e5bd75d0e608efdafefaf1c,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,3250000000000000000000,18,48571,15823479945,40106,2024-06-03 16:37:11.000 UTC,Coinmetro,Coinmetro 4,0.00063461648667417,1717372800,9.418,3779.06,30608.499999999996,2.3982537801308887,0.7835254194524033
20,20012172,1717428287,0x612bb90cca141e40b5d5ddcaf8ae15aced0add692e4ad3743a36fb734ad4cf8e,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,462068351000,6,84000,18974432498,46109,2024-06-03 15:24:47.000 UTC,Coinhako,Coinhako 5,0.0008748921080502821,1717372800,0.9996,3779.06,461883.52365960006,3.306269769848499,0.07158232758883083
21,20012149,1717428011,0xe043cbcb6cc08a1b784bd51f1bf26cfd2a4a5cdf40f1cc3c98bf2f1dbf38cb67,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0x57e114b691db790c35207b2e685d4a43181e6061,Ethena,ENA,114459927000000000000000,18,41625,16680823781,34329,2024-06-03 15:20:11.000 UTC,Revolut,Revolut 3,0.000572635999577949,1717372800,0.9196,3779.06,105257.3488692,2.164025800565044,0.20559379690003507
