snapped_at,price,market_cap,total_volume
2024-03-19 00:00:00 UTC,3.2469693191936204,0.0,136069270.78801593
2024-03-20 00:00:00 UTC,3.2469693191936204,0.0,136069270.78801593
2024-03-21 00:00:00 UTC,3.007083916384972,0.0,74909374.83231586
2024-03-22 00:00:00 UTC,2.7737197358277577,0.0,35430199.29865345
2024-03-23 00:00:00 UTC,2.8668355163307107,0.0,44114624.29401279
2024-03-24 00:00:00 UTC,2.722192728590108,0.0,27478609.442075733
2024-03-25 00:00:00 UTC,2.6384146307265004,0.0,24994154.62250374
2024-03-26 00:00:00 UTC,2.9039435609994553,0.0,41940725.14375501
2024-03-27 00:00:00 UTC,3.3738163906548415,0.0,68772340.05514877
2024-03-28 00:00:00 UTC,3.7595928400443084,0.0,76670104.15287222
2024-03-29 00:00:00 UTC,3.4950229088146836,0.0,102967399.70172498
2024-03-30 00:00:00 UTC,3.287079194340891,0.0,54349296.94194184
2024-03-31 00:00:00 UTC,3.086610721659638,0.0,38818068.58638882
2024-04-01 00:00:00 UTC,3.404016743339794,0.0,40484185.65637672
2024-04-02 00:00:00 UTC,2.9087460662029234,0.0,72328491.98316544
2024-04-03 00:00:00 UTC,2.678971613859701,0.0,59483251.67750884
2024-04-04 00:00:00 UTC,2.8632104282333235,0.0,42793620.07148898
2024-04-05 00:00:00 UTC,2.76408941763915,0.0,31239891.55057455
2024-04-06 00:00:00 UTC,2.744283078554044,0.0,22790564.07891007
2024-04-07 00:00:00 UTC,2.7585396380223832,0.0,16298298.996799028
2024-04-08 00:00:00 UTC,2.798653034673524,0.0,22843159.16719569
2024-04-09 00:00:00 UTC,2.9607967491281375,0.0,37717189.29941361
2024-04-10 00:00:00 UTC,2.6762107786939593,0.0,37011565.15687561
2024-04-11 00:00:00 UTC,2.653872155352644,0.0,29660143.687069118
2024-04-12 00:00:00 UTC,2.4171097447983843,0.0,20095513.89409856
2024-04-13 00:00:00 UTC,1.8554156254066303,0.0,49667335.507816896
2024-04-14 00:00:00 UTC,1.5796219068630886,0.0,36214156.49874527
2024-04-15 00:00:00 UTC,1.75420212302398,0.0,28524154.099166475
2024-04-16 00:00:00 UTC,1.8058949081390965,0.0,33427826.126542408
2024-04-17 00:00:00 UTC,1.8331370743866655,0.0,45911775.04460677
2024-04-18 00:00:00 UTC,1.67290993382371,0.0,26801386.543182958
2024-04-19 00:00:00 UTC,1.789409457323024,0.0,28021211.718310155
2024-04-20 00:00:00 UTC,1.7063956165947476,0.0,21072952.77355416
2024-04-21 00:00:00 UTC,1.8772848408442975,0.0,15664599.167676417
2024-04-22 00:00:00 UTC,1.8419510391906375,0.0,13485627.546782285
2024-04-23 00:00:00 UTC,1.8313798695071426,0.0,13197882.573544625
2024-04-24 00:00:00 UTC,1.7016856551746884,0.0,14756487.748951321
2024-04-25 00:00:00 UTC,1.6075317857067273,0.0,13540945.152120367
2024-04-26 00:00:00 UTC,1.6397244367717807,0.0,9423031.474873677
2024-04-27 00:00:00 UTC,1.4773389120409786,0.0,11247918.508849442
2024-04-28 00:00:00 UTC,1.4187389781115423,0.0,16323924.552329304
2024-04-29 00:00:00 UTC,1.4030999123963501,0.0,17071428.915163327
2024-04-30 00:00:00 UTC,1.2998001739720295,0.0,18567274.94217383
2024-05-01 00:00:00 UTC,1.1681819764723127,0.0,20826919.678574305
2024-05-02 00:00:00 UTC,1.2325924543215085,0.0,28242704.469360936
2024-05-03 00:00:00 UTC,1.2171740384324028,0.0,17993008.707127422
2024-05-04 00:00:00 UTC,1.300645494173998,0.0,21027970.602221385
2024-05-05 00:00:00 UTC,1.2513835195496004,0.0,13533237.040649286
2024-05-06 00:00:00 UTC,1.2169931544410963,0.0,11292231.972603446
2024-05-07 00:00:00 UTC,1.2679664029465463,0.0,31959009.925613325
2024-05-08 00:00:00 UTC,1.1455958060472569,0.0,18893121.80653793
2024-05-09 00:00:00 UTC,1.2411957062172496,0.0,28273334.600893993
2024-05-10 00:00:00 UTC,1.255164524707487,0.0,14820076.721768787
2024-05-11 00:00:00 UTC,1.1537420656649882,0.0,16658964.80045321
2024-05-12 00:00:00 UTC,1.1526621779099553,0.0,11549373.440144448
2024-05-13 00:00:00 UTC,1.1609628403047345,0.0,7508987.448464728
2024-05-14 00:00:00 UTC,1.1352482543518287,0.0,20238890.77282993
2024-05-15 00:00:00 UTC,1.109365178246101,0.0,18409453.033974323
2024-05-16 00:00:00 UTC,1.1622338189265387,0.0,13296271.26388958
2024-05-17 00:00:00 UTC,1.1207716564515386,0.0,11976293.748042814
2024-05-18 00:00:00 UTC,1.1560583490022824,0.0,12946021.368280144
2024-05-19 00:00:00 UTC,1.12872423634184,0.0,7574620.315691706
2024-05-20 00:00:00 UTC,1.1279354339215457,0.0,13473307.112547912
2024-05-21 00:00:00 UTC,1.2817604987222833,0.0,23787791.48598436
2024-05-22 00:00:00 UTC,1.427682106602718,0.0,35997375.555781044
2024-05-23 00:00:00 UTC,1.4455698785700017,0.0,32238319.680973757
2024-05-24 00:00:00 UTC,1.4460338352620252,0.0,34143925.83775568
2024-05-25 00:00:00 UTC,1.4170216621308047,0.0,22783018.92099464
2024-05-26 00:00:00 UTC,1.4148871442397726,0.0,15677220.005969737
2024-05-27 00:00:00 UTC,1.3882412020756465,0.0,15666653.467354367
2024-05-28 00:00:00 UTC,1.4883011146733562,0.0,15999565.864476716
2024-05-29 00:00:00 UTC,1.4446490146894175,0.0,18679778.32946411
2024-05-30 00:00:00 UTC,1.3210722958535452,0.0,17526624.992592104
